ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
27.982320266834673	109.426	17.766497461928935	89.74111675126903	75.24619289340102	63.325514209764705	74	9593	223	36.0	207.0	174.0	31	3.0	3.0	2.0	0	152	0	14.159404277801514	37500	570.7500503063202	16255	56.653333333333336	
30.87354181572642	112.774	17.966057441253263	89.35509138381201	74.9556135770235	63.325514209764705	75	9711	267	33.0	207.0	174.0	27	3.0	3.0	2.0	0	152	0	12.76285171508789	38000	583.5129020214081	16493	56.59736842105263	
28.75073182313614	108.546	17.581267217630852	87.78512396694215	73.50137741046832	63.325514209764705	76	9849	286	33.0	312.0	263.0	28	3.0	3.0	2.0	0	152	0	16.792906284332275	38500	600.3058083057404	16731	56.542857142857144	
29.535657291468123	107.206	17.78680203045685	88.69796954314721	74.29695431472081	63.325514209764705	77	9956	222	33.0	233.0	196.0	32	3.0	3.0	2.0	0	152	0	14.20926308631897	39000	614.5150713920593	16977	56.46923076923077	
29.01483923475122	112.092	17.780160857908847	89.0911528150134	74.6112600536193	65.20009511399421	78	10084	218	37.0	227.0	194.0	34	3.0	3.0	2.0	0	152	0	12.323931694030762	39500	626.8390030860901	17227	56.3873417721519	
29.42961185584242	115.122	18.051546391752577	89.04381443298969	74.57474226804123	65.20009511399421	79	10197	242	37.0	227.0	194.0	13	3.0	3.0	2.0	0	152	0	15.210588216781616	40000	642.0495913028717	17475	56.3125	
31.143717994773695	116.874	18.21095890410959	90.81917808219178	76.0986301369863	65.20009511399421	80	10333	246	44.0	249.0	213.0	30	3.0	3.0	2.0	0	152	0	13.318796396255493	40500	655.3683876991272	17695	56.308641975308646	
30.852711797812333	120.586	18.54871794871795	92.73589743589744	77.71538461538462	65.20009511399421	81	10444	270	40.0	252.0	212.0	11	3.0	3.0	2.0	0	152	0	18.060646057128906	41000	673.4290337562561	17943	56.23658536585366	
32.17910448183043	123.45	18.838068181818183	95.45454545454545	79.88920454545455	65.20009511399421	82	10593	243	44.0	257.0	216.0	15	3.0	3.0	2.0	0	152	0	16.223226308822632	41500	689.6522600650787	18182	56.18795180722891	
35.08160764566545	124.996	18.108753315649867	88.77188328912467	74.26525198938992	65.20009511399421	83	10717	301	40.0	232.0	198.0	25	3.0	3.0	2.0	0	152	0	20.886586666107178	42000	710.5388467311859	18403	56.18333333333334	
35.44925156633673	128.214	18.0414364640884	86.76795580110497	72.6878453038674	65.20009511399421	84	10856	301	36.0	232.0	198.0	35	3.0	3.0	2.0	0	152	0	20.945133924484253	42500	731.4839806556702	18616	56.19764705882353	
33.811905608132406	132.296	17.992385786802032	85.42639593908629	71.47969543147208	65.84859396305711	85	10963	339	36.0	277.0	236.0	35	3.0	3.0	2.0	0	152	0	40.93655848503113	43000	772.4205391407013	18872	56.11162790697675	
32.52668448042109	131.276	18.109919571045577	85.01608579088472	71.09919571045576	65.84859396305711	86	11091	339	36.0	277.0	236.0	41	6.0	8.0	6.0	0	152	0	25.638566255569458	43500	798.0591053962708	19101	56.08965517241379	
32.17930580618424	129.942	17.643243243243244	81.99459459459459	68.51891891891891	65.84859396305711	87	11222	238	26.0	161.0	136.0	45	3.0	3.0	2.0	0	152	0	18.457566022872925	44000	816.5166714191437	19332	56.06363636363636	
32.85604803726435	131.764	17.346994535519126	82.87158469945355	69.31147540983606	65.84859396305711	88	11357	235	25.0	183.0	153.0	41	3.0	3.0	2.0	0	152	0	20.264284372329712	44500	836.7809557914734	19559	56.04719101123595	
31.70577231496371	131.136	17.45303867403315	81.90883977900552	68.56353591160222	65.84859396305711	89	11496	257	38.0	189.0	161.0	31	3.0	3.0	2.0	0	152	0	15.20238184928894	45000	851.9833376407623	19791	56.019999999999996	
31.13615119399888	130.226	17.57027027027027	80.34324324324324	67.28108108108108	66.00248475903373	90	11627	232	34.0	188.0	153.0	49	3.0	3.0	2.0	0	152	0	16.86081075668335	45500	868.8441483974457	20020	56.0	
31.409317648506445	129.894	17.158038147138964	78.46049046321527	65.63215258855585	66.00248475903373	91	11761	228	34.0	155.0	129.0	61	3.0	3.0	2.0	0	152	0	13.767172574996948	46000	882.6113209724426	20254	55.969565217391306	
32.799360279178124	129.958	17.349030470914126	81.12465373961219	67.90304709141274	66.00248475903373	92	11901	287	34.0	190.0	161.0	47	6.0	8.0	6.0	0	152	0	25.47452449798584	46500	908.0858454704285	20485	55.946236559139784	
33.9475434753164	128.986	17.6	84.22162162162162	70.58648648648649	66.00248475903373	93	12032	208	34.0	179.0	148.0	56	3.0	3.0	2.0	0	152	0	17.1070556640625	47000	925.192901134491	20712	55.93191489361702	
34.0541355269816	129.058	17.77903682719547	85.48441926345609	71.62606232294617	66.00248475903373	94	12180	220	31.0	215.0	184.0	47	3.0	3.0	2.0	0	152	0	19.63597559928894	47500	944.8288767337799	20922	55.95368421052632	
34.60724614212036	134.416	17.775342465753425	85.25205479452055	71.33424657534246	66.00248475903373	95	12316	239	27.0	158.0	133.0	49	3.0	3.0	2.0	0	152	0	15.375571966171265	48000	960.2044486999512	21156	55.925000000000004	
35.83711168133823	133.34	17.634831460674157	84.26685393258427	70.36797752808988	66.60240977517104	96	12461	258	28.0	171.0	141.0	70	3.0	3.0	2.0	0	152	0	16.5675687789917	48500	976.7720174789429	21366	55.94639175257732	
35.88935859099342	131.392	18.029972752043598	89.42506811989101	74.70572207084469	66.76785953683398	97	12595	258	32.0	208.0	171.0	43	3.0	3.0	2.0	0	152	0	25.100000143051147	49000	1001.872017621994	21582	55.95510204081633	
36.368710868622706	132.46	18.4585635359116	91.76243093922652	76.81491712707182	66.76785953683398	98	12734	268	37.0	266.0	219.0	58	3.0	3.0	2.0	0	152	0	18.25509023666382	49500	1020.1271078586578	21803	55.95353535353536	
36.09492074677049	134.024	18.558011049723756	93.40055248618785	78.19060773480663	66.76785953683398	99	12873	278	30.0	198.0	165.0	50	3.0	3.0	2.0	0	152	0	22.525057554244995	50000	1042.6521654129028	22014	55.972	
36.87347512229305	135.68	18.404624277456648	91.5635838150289	76.76300578034682	67.12500239397683	100	13028	275	35.0	212.0	180.0	43	3.0	3.0	2.0	0	152	0	31.192196369171143	50500	1073.844361782074	22223	55.9940594059406	
